Campaign,Spend,Clicks,Impressions,Conversions,Revenue
Summer Sale FB,1200,3400,120000,85,5100
Google Search Brand,2500,5200,60000,310,15500
Instagram Reels Promo,900,2100,95000,40,1800
YouTube PreRoll,3000,1800,250000,60,2400
TikTok Awareness,1500,4800,180000,55,2200
Google Shopping,4200,6100,80000,410,24600
LinkedIn B2B Lead Gen,2800,900,15000,70,9800
Retargeting Display,600,1500,40000,90,4500
Email Newsletter Ads,300,700,20000,45,2700
Bing Search,800,1100,25000,60,3600
Snapchat Story Ads,1100,2600,110000,30,900
Pinterest Shopping,700,1300,45000,55,3300
New Product Launch FB,2000,3900,150000,120,7200
Black Friday Teaser,1800,5000,200000,95,5700
Brand Awareness Video,2600,2200,300000,25,1000
